transaction_id,transaction_ts,store_id,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,channel,review_rating,promo_meta_json,is_returned,pre_tax_amount,tax_rate,tax_amount,total_amount
1,2024-11-13 10:02:00,4,147,9,1,2.75,0.0,Cash,Online,,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,2.75,0.1,0.28,3.03
2,2025-01-30 19:00:00,1,138,15,2,32.66,0.0,Card,InStore,3.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,65.32,0.07,4.57,69.89
3,2024-10-18 18:46:00,6,208,54,2,23.82,0.1,GiftCard,ClickAndCollect,4.0,"{""coupon"": ""WEEKEND15"", ""bundle"": true, ""campaign"": ""SpringSale""}",0,42.88,0.07,3.0,45.88
4,2024-01-16 18:29:00,1,244,57,3,29.88,0.2,Card,InStore,4.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,71.71,0.0,0.0,71.71
5,2024-12-24 12:13:00,8,145,29,2,41.9,0.0,MobilePay,InStore,4.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,83.8,0.1,8.38,92.18
6,2024-09-23 10:35:00,9,58,31,3,20.23,0.15,Card,Online,2.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,51.59,0.07,3.61,55.2
7,2025-08-11 12:21:00,9,99,9,2,2.54,0.15,Card,Online,4.0,"{""coupon"": ""LOYAL5"", ""bundle"": true, ""campaign"": ""BackToSchool""}",0,4.32,0.1,0.43,4.75
8,2025-01-16 17:32:00,5,72,49,1,32.46,0.0,Card,InStore,3.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,32.46,0.04,1.3,33.76
9,2025-02-28 10:53:00,10,134,5,1,71.74,0.05,MobilePay,InStore,1.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,68.15,0.1,6.82,74.97
10,2025-06-07 15:41:00,2,237,43,1,21.27,0.0,Cash,Online,2.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,21.27,0.1,2.13,23.4
11,2024-11-29 09:50:00,10,20,13,2,34.69,0.05,Card,InStore,3.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,65.91,0.1,6.59,72.5
12,2025-05-04 10:17:00,9,245,30,2,19.06,0.1,Card,InStore,4.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,34.31,0.04,1.37,35.68
13,2024-10-05 18:35:00,4,125,13,2,34.28,0.0,Card,InStore,3.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""None""}",0,68.56,0.1,6.86,75.42
14,2024-01-02 17:24:00,6,209,32,1,35.1,0.0,Card,InStore,4.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""SpringSale""}",1,35.1,0.1,3.51,38.61
15,2024-09-19 15:27:00,9,106,27,2,14.03,0.0,MobilePay,InStore,3.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""None""}",1,28.06,0.07,1.96,30.02
16,2025-09-21 14:32:00,3,130,17,5,59.91,0.0,Card,ClickAndCollect,4.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,299.55,0.07,20.97,320.52
17,2024-04-19 11:06:00,4,52,49,3,38.61,0.0,Card,InStore,2.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""None""}",0,115.83,0.04,4.63,120.46
18,2025-06-09 11:04:00,8,34,25,1,4.82,0.05,MobilePay,InStore,4.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,4.58,0.04,0.18,4.76
19,2025-03-24 20:57:00,11,226,41,1,43.93,0.05,Card,InStore,3.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,41.73,0.0,0.0,41.73
20,2025-02-17 15:26:00,3,104,14,3,13.47,0.2,Card,Online,2.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,32.33,0.07,2.26,34.59
21,2024-04-21 20:58:00,4,176,9,4,2.81,0.05,Card,Online,2.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,10.68,0.1,1.07,11.75
